case_id,scenario_id,node_id,node_name,level,device_class,epoch,cpu_util,ram_util,queue_depth,uplink_latency,jitter_pktloss,handover_rate,residual_energy,temperature,reliability_prior,ground_truth_fail,failure_time
1,11,3,cloud,0,cloud,0.0,0.0000,0.0025,0,0.000,,0,1.0000,,0.990,0,
2,11,3,cloud,0,cloud,100.0,0.0000,0.0025,0,0.000,,0,0.9959,,0.990,0,
3,11,3,cloud,0,cloud,200.0,0.0000,0.0025,0,0.000,,0,0.9918,,0.990,0,
4,11,3,cloud,0,cloud,300.0,0.0000,0.0025,148,740.000,1.0000,0,0.9877,,0.990,0,
5,11,3,cloud,0,cloud,400.0,0.0000,0.0025,183,915.000,1.0000,0,0.9827,,0.990,0,
6,11,3,cloud,0,cloud,500.0,0.0000,0.0025,176,880.000,1.0000,0,0.9777,,0.990,0,
7,11,3,cloud,0,cloud,600.0,0.0000,0.0025,182,910.000,1.0000,0,0.9727,,0.990,0,
8,11,3,cloud,0,cloud,700.0,0.0000,0.0025,178,890.000,1.0000,0,0.9677,,0.990,0,
9,11,3,cloud,0,cloud,800.0,0.0000,0.0025,177,885.000,1.0000,0,0.9627,,0.990,0,
10,11,3,cloud,0,cloud,900.0,0.0000,0.0025,190,950.000,1.0000,0,0.9577,,0.990,0,
11,11,3,cloud,0,cloud,1000.0,0.0000,0.0025,181,905.000,1.0000,0,0.9527,,0.990,0,
12,11,3,cloud,0,cloud,1100.0,0.0000,0.0025,180,900.000,1.0000,0,0.9477,,0.990,0,
13,11,3,cloud,0,cloud,1200.0,0.0000,0.0025,176,880.000,1.0000,0,0.9427,,0.990,0,
14,11,3,cloud,0,cloud,1300.0,0.0000,0.0025,185,925.000,1.0000,0,0.9377,,0.990,0,
15,11,3,cloud,0,cloud,1400.0,0.0000,0.0025,173,865.000,1.0000,0,0.9327,,0.990,0,
16,11,3,cloud,0,cloud,1500.0,0.0000,0.0025,182,910.000,1.0000,0,0.9277,,0.990,0,
17,11,3,cloud,0,cloud,1600.0,0.0000,0.0025,177,885.000,1.0000,0,0.9227,,0.990,0,
18,11,3,cloud,0,cloud,1700.0,0.0000,0.0025,178,890.000,1.0000,0,0.9177,,0.990,0,
19,11,3,cloud,0,cloud,1800.0,0.0000,0.0025,181,905.000,1.0000,0,0.9127,,0.990,0,
20,11,3,cloud,0,cloud,1900.0,0.0000,0.0025,179,895.000,1.0000,0,0.9077,,0.990,0,
21,11,3,cloud,0,cloud,2000.0,0.0000,0.0025,181,905.000,1.0000,0,0.9027,,0.990,0,
22,11,3,cloud,0,cloud,2100.0,0.0000,0.0025,178,890.000,1.0000,0,0.8977,,0.990,0,
23,11,3,cloud,0,cloud,2200.0,0.0000,0.0025,184,920.000,1.0000,0,0.8927,,0.990,0,
24,11,3,cloud,0,cloud,2300.0,0.0000,0.0025,179,895.000,1.0000,0,0.8877,,0.990,0,
25,11,3,cloud,0,cloud,2400.0,0.0000,0.0025,179,895.000,1.0000,0,0.8827,,0.990,0,
26,11,3,cloud,0,cloud,2500.0,0.0000,0.0025,184,920.000,1.0000,0,0.8777,,0.990,0,
27,11,3,cloud,0,cloud,2600.0,0.0000,0.0025,182,910.000,1.0000,0,0.8727,,0.990,0,
28,11,3,cloud,0,cloud,2700.0,0.0000,0.0025,176,880.000,1.0000,0,0.8677,,0.990,0,
29,11,3,cloud,0,cloud,2800.0,0.0000,0.0025,179,895.000,1.0000,0,0.8627,,0.990,0,
30,11,3,cloud,0,cloud,2900.0,0.0000,0.0025,174,870.000,1.0000,0,0.8577,,0.990,0,
31,11,3,cloud,0,cloud,3000.0,0.0000,0.0025,177,885.000,1.0000,0,0.8527,,0.990,0,
32,11,3,cloud,0,cloud,3100.0,0.0000,0.0025,179,895.000,1.0000,0,0.8477,,0.990,0,
33,11,3,cloud,0,cloud,3200.0,0.0000,0.0025,185,925.000,1.0000,0,0.8427,,0.990,0,
34,11,3,cloud,0,cloud,3300.0,0.0000,0.0025,180,900.000,1.0000,0,0.8377,,0.990,0,
35,11,3,cloud,0,cloud,3400.0,0.0000,0.0025,175,875.000,1.0000,0,0.8327,,0.990,0,
36,11,3,cloud,0,cloud,3500.0,0.0000,0.0025,184,920.000,1.0000,0,0.8277,,0.990,0,
37,11,3,cloud,0,cloud,3600.0,0.0000,0.0025,182,910.000,1.0000,0,0.8227,,0.990,0,
38,11,3,cloud,0,cloud,3700.0,0.0000,0.0025,173,865.000,1.0000,0,0.8177,,0.990,0,
39,11,3,cloud,0,cloud,3800.0,0.0000,0.0025,181,905.000,1.0000,0,0.8127,,0.990,0,
40,11,3,cloud,0,cloud,3900.0,0.0000,0.0025,181,905.000,1.0000,0,0.8077,,0.990,0,
41,11,3,cloud,0,cloud,4000.0,0.0000,0.0025,181,905.000,1.0000,0,0.8027,,0.990,0,
42,11,3,cloud,0,cloud,4100.0,0.0000,0.0025,180,900.000,1.0000,0,0.7977,,0.990,0,
43,11,3,cloud,0,cloud,4200.0,0.0000,0.0025,183,915.000,1.0000,0,0.7927,,0.990,0,
44,11,3,cloud,0,cloud,4300.0,0.0000,0.0025,172,860.000,1.0000,0,0.7877,,0.990,0,
45,11,3,cloud,0,cloud,4400.0,0.0000,0.0025,178,890.000,1.0000,0,0.7827,,0.990,0,
46,11,3,cloud,0,cloud,4500.0,0.0000,0.0025,177,885.000,1.0000,0,0.7777,,0.990,0,
47,11,3,cloud,0,cloud,4600.0,0.0000,0.0025,169,845.000,1.0000,0,0.7727,,0.990,0,
48,11,3,cloud,0,cloud,4700.0,0.0000,0.0025,175,875.000,1.0000,0,0.7677,,0.990,0,
49,11,3,cloud,0,cloud,4800.0,0.0000,0.0025,182,910.000,1.0000,0,0.7627,,0.990,0,
50,11,3,cloud,0,cloud,4900.0,0.0000,0.0025,188,940.000,1.0000,0,0.7577,,0.990,0,
51,11,3,cloud,0,cloud,5000.0,0.0000,0.0025,185,925.000,1.0000,0,0.7527,,0.990,0,
52,11,4,fog-13,1,fog,0.0,0.0000,0.0000,0,150.000,,0,1.0000,,0.850,0,
53,11,4,fog-13,1,fog,100.0,0.0000,0.0000,0,150.000,,0,0.9981,,0.850,0,
54,11,4,fog-13,1,fog,200.0,0.0000,0.0000,0,150.000,,0,0.9963,,0.850,0,
55,11,4,fog-13,1,fog,300.0,0.0000,0.0000,0,150.000,,0,0.9944,,0.850,0,
56,11,4,fog-13,1,fog,400.0,0.0000,0.0000,0,150.000,,0,0.9925,,0.850,0,
57,11,4,fog-13,1,fog,500.0,0.0000,0.0000,5,150.500,0.0000,0,0.9906,,0.850,0,
58,11,4,fog-13,1,fog,600.0,0.0000,0.0000,5,150.500,0.0000,0,0.9888,,0.850,0,
59,11,4,fog-13,1,fog,700.0,0.0000,0.0000,4,150.400,0.0000,0,0.9869,,0.850,0,
60,11,4,fog-13,1,fog,800.0,0.0000,0.0000,4,150.400,0.0000,0,0.9850,,0.850,0,
61,11,4,fog-13,1,fog,900.0,0.0000,0.0000,5,150.500,0.0000,0,0.9831,,0.850,0,
62,11,4,fog-13,1,fog,1000.0,0.0000,0.0000,5,150.500,0.0000,0,0.9813,,0.850,0,
63,11,4,fog-13,1,fog,1100.0,0.0000,0.0000,5,150.500,0.0000,0,0.9794,,0.850,0,
64,11,4,fog-13,1,fog,1200.0,0.0000,0.0000,4,150.400,0.3536,0,0.9775,,0.850,0,
65,11,4,fog-13,1,fog,1300.0,0.0000,0.0000,5,150.500,0.0000,0,0.9756,,0.850,0,
66,11,4,fog-13,1,fog,1400.0,0.0000,0.0000,5,150.500,0.0000,0,0.9738,,0.850,0,
67,11,4,fog-13,1,fog,1500.0,0.0000,0.0000,4,150.400,0.3536,0,0.9719,,0.850,0,
68,11,4,fog-13,1,fog,1600.0,0.0000,0.0000,4,150.400,0.3536,0,0.9700,,0.850,0,
69,11,4,fog-13,1,fog,1700.0,0.0000,0.0000,5,150.500,0.0000,0,0.9681,,0.850,0,
70,11,4,fog-13,1,fog,1800.0,0.0000,0.0000,5,150.500,0.0000,0,0.9663,,0.850,0,
71,11,4,fog-13,1,fog,1900.0,0.0000,0.0000,5,150.500,0.0000,0,0.9644,,0.850,0,
72,11,4,fog-13,1,fog,2000.0,0.0000,0.0000,5,150.500,0.0000,0,0.9625,,0.850,0,
73,11,4,fog-13,1,fog,2100.0,0.0000,0.0000,5,150.500,0.0000,0,0.9606,,0.850,0,
74,11,4,fog-13,1,fog,2200.0,0.0000,0.0000,5,150.500,0.0000,0,0.9588,,0.850,0,
75,11,4,fog-13,1,fog,2300.0,0.0000,0.0000,4,150.400,0.3536,0,0.9569,,0.850,0,
76,11,4,fog-13,1,fog,2400.0,0.0000,0.0000,5,150.500,0.0000,0,0.9550,,0.850,0,
77,11,4,fog-13,1,fog,2500.0,0.0000,0.0000,5,150.500,0.0000,0,0.9531,,0.850,0,
78,11,4,fog-13,1,fog,2600.0,0.0000,0.0000,4,150.400,0.0000,0,0.9513,,0.850,0,
79,11,4,fog-13,1,fog,2700.0,0.0000,0.0000,4,150.400,0.3536,0,0.9494,,0.850,0,
80,11,4,fog-13,1,fog,2800.0,0.0000,0.0000,4,150.400,0.3536,0,0.9475,,0.850,0,
81,11,4,fog-13,1,fog,2900.0,0.0000,0.0000,5,150.500,0.0000,0,0.9456,,0.850,0,
82,11,4,fog-13,1,fog,3000.0,0.0000,0.0000,3,150.300,0.0000,0,0.9438,,0.850,0,
83,11,4,fog-13,1,fog,3100.0,0.0000,0.0000,5,150.500,0.0000,0,0.9419,,0.850,0,
84,11,4,fog-13,1,fog,3200.0,0.0000,0.0000,5,150.500,0.0000,0,0.9400,,0.850,0,
85,11,4,fog-13,1,fog,3300.0,0.0000,0.0000,5,150.500,0.0000,0,0.9381,,0.850,0,
86,11,4,fog-13,1,fog,3400.0,0.0000,0.0000,5,150.500,0.0000,0,0.9363,,0.850,0,
87,11,4,fog-13,1,fog,3500.0,0.0000,0.0000,4,150.400,0.3536,0,0.9344,,0.850,0,
88,11,4,fog-13,1,fog,3600.0,0.0000,0.0000,5,150.500,0.0000,0,0.9325,,0.850,0,
89,11,4,fog-13,1,fog,3700.0,0.0000,0.0000,4,150.400,0.0000,0,0.9306,,0.850,0,
90,11,4,fog-13,1,fog,3800.0,0.0000,0.0000,5,150.500,0.0000,0,0.9288,,0.850,0,
91,11,4,fog-13,1,fog,3900.0,0.0000,0.0000,5,150.500,0.0000,0,0.9269,,0.850,0,
92,11,4,fog-13,1,fog,4000.0,0.0000,0.0000,5,150.500,0.0000,0,0.9250,,0.850,0,
