case_id,scenario_id,node_id,node_name,level,device_class,epoch,cpu_util,ram_util,queue_depth,uplink_latency,jitter_pktloss,handover_rate,residual_energy,temperature,reliability_prior,ground_truth_fail,failure_time
1,9,3,cloud,0,cloud,1700.0,0.0397,0.0025,901,3995.000,1.0000,0,0.9293,,0.990,0,
2,9,40,fog-49,1,fog,200.0,1.0000,0.4500,71,101.700,1.0000,0,0.9900,,0.850,1,344.4
3,1,179,edge-19,2,edge,200.0,0.0100,0.0100,2,1.868,,1,0.9805,,0.700,0,
4,9,3,cloud,0,cloud,400.0,0.0089,0.0025,450,2020.000,1.0000,0,0.9835,,0.990,0,
5,8,3,cloud,0,cloud,3800.0,0.0353,0.0025,400,2790.000,1.0000,0,0.8249,,0.990,0,
6,7,110,fog-119,1,fog,2200.0,0.0000,0.0000,0,100.000,,0,0.9145,,0.850,1,2349.1
7,7,197,edge-25,2,edge,600.0,0.0500,0.0100,10,2.282,0.9926,2,0.9672,,0.700,1,778.7
8,9,8,fog-17,1,fog,2500.0,0.7714,0.4500,31,101.750,1.0000,0,0.8771,,0.850,1,2641.9
9,8,44,fog-53,1,fog,3400.0,0.0000,0.0000,0,250.000,,0,0.8679,,0.850,1,3456.1
10,10,6,fog-15,1,fog,1500.0,0.0000,0.3000,1,100.100,,0,0.9257,,0.850,0,
11,9,89,fog-98,1,fog,4100.0,0.0000,0.0000,0,100.000,,0,0.9231,,0.850,0,
12,1,3,cloud,0,cloud,1000.0,0.0000,0.0025,20,100.000,0.9415,0,0.9527,,0.990,0,
13,1,105,fog-114,1,fog,100.0,0.0000,0.0000,0,100.000,,0,0.9961,,0.850,0,
14,8,3,cloud,0,cloud,4200.0,0.0386,0.0025,416,2945.000,1.0000,0,0.8060,,0.990,0,
15,1,3,cloud,0,cloud,3400.0,0.0000,0.0025,19,95.000,0.6550,0,0.8327,,0.990,0,
16,9,56,fog-65,1,fog,500.0,0.7714,0.4500,30,101.400,1.0000,0,0.9762,,0.850,1,515.9
17,7,335,edge-71,2,edge,100.0,0.0200,0.0100,4,1.842,1.0000,1,0.9904,,0.700,1,117.1
18,9,44,fog-53,1,fog,3300.0,0.0000,0.4500,0,100.000,,0,0.8350,,0.850,1,3456.1
19,7,5,fog-14,1,fog,3300.0,0.0000,0.0000,0,100.000,,0,0.8717,,0.850,0,
20,8,3,cloud,0,cloud,1800.0,0.0179,0.0025,325,2025.000,1.0000,0,0.9186,,0.990,0,
21,10,45,fog-54,1,fog,600.0,0.0000,0.0000,0,100.000,,0,0.9767,,0.850,0,
22,1,58,fog-67,1,fog,4500.0,0.0000,0.0000,0,100.000,,0,0.8251,,0.850,1,4546.4
23,10,3,cloud,0,cloud,0.0,0.0000,0.0025,0,0.000,,0,1.0000,,0.990,0,
24,8,203,edge-27,2,edge,1700.0,0.1000,0.0100,22,2.962,0.9410,0,0.7739,,0.700,1,1719.9
25,10,161,edge-13,2,edge,2400.0,0.1000,0.4000,28,2.785,1.0000,2,0.6455,,0.700,1,2568.8
26,9,270,edge-37,2,edge,4600.0,0.1421,0.0100,82,3.849,1.0000,2,0.3328,,0.700,0,
27,7,149,edge-9,2,edge,3300.0,0.0500,0.0100,8,1.983,0.7900,3,0.8436,,0.700,0,4619.9
28,1,149,edge-9,2,edge,4500.0,0.0100,0.0100,2,1.900,,2,0.5677,,0.700,1,4619.9
29,8,31,fog-40,1,fog,4700.0,0.0000,0.3000,0,250.000,,0,0.7650,,0.850,1,4876.8
30,8,167,edge-15,2,edge,4600.0,0.1013,0.0100,51,3.155,1.0000,3,0.3354,,0.700,0,5045.9
31,7,3,cloud,0,cloud,2300.0,0.0000,0.0025,411,1775.000,1.0000,0,0.8868,,0.990,0,
32,9,78,fog-87,1,fog,4600.0,0.0000,0.0000,0,100.000,,0,0.9138,,0.850,0,
33,8,3,cloud,0,cloud,600.0,0.0051,0.0025,242,1325.000,1.0000,0,0.9743,,0.990,0,
34,10,224,edge-34,2,edge,2700.0,0.1000,0.4000,35,3.101,1.0000,3,0.6493,,0.700,1,2888.7
35,8,131,edge-3,2,edge,3900.0,0.1000,0.0100,28,3.016,0.8318,3,0.8474,,0.700,1,4083.5
36,9,116,fog-125,1,fog,3900.0,0.0000,0.0000,0,100.000,,0,0.9269,,0.850,0,
37,9,12,fog-21,1,fog,2600.0,0.0000,0.4500,36,102.400,1.0000,0,0.8800,,0.850,1,2739.9
38,9,81,fog-90,1,fog,5000.0,0.0000,0.0000,0,100.000,,0,0.9063,,0.850,0,
39,10,35,fog-44,1,fog,3200.0,0.0000,0.3000,0,100.000,,0,0.8400,,0.850,0,
40,8,3,cloud,0,cloud,0.0,0.0000,0.0025,0,0.000,,0,1.0000,,0.990,0,
41,8,95,fog-104,1,fog,1400.0,0.0000,0.0000,0,250.000,,0,0.9456,,0.850,0,3977.3
42,7,3,cloud,0,cloud,1200.0,0.0000,0.0025,427,1815.000,1.0000,0,0.9418,,0.990,0,
43,8,29,fog-38,1,fog,800.0,1.0000,0.3000,368,264.750,1.0000,0,0.9601,,0.850,1,839.2
44,7,3,cloud,0,cloud,3000.0,0.0000,0.0025,425,1810.000,1.0000,0,0.8518,,0.990,0,
45,7,31,fog-40,1,fog,4800.0,0.0000,0.0000,0,100.000,,0,0.8135,,0.850,1,4876.8
46,9,3,cloud,0,cloud,1100.0,0.0243,0.0025,775,3250.000,1.0000,0,0.9544,,0.990,0,
47,10,197,edge-25,2,edge,600.0,0.1000,0.4000,28,2.782,0.8318,2,0.9696,,0.700,1,778.7
48,1,179,edge-19,2,edge,3200.0,0.0100,0.0100,2,1.987,,4,0.6734,,0.700,0,
49,9,110,fog-119,1,fog,2300.0,0.0000,0.0000,0,100.000,,0,0.9569,,0.850,1,2349.1
