case_id,scenario_id,node_id,node_name,level,device_class,epoch,cpu_util,ram_util,queue_depth,uplink_latency,jitter_pktloss,handover_rate,residual_energy,temperature,reliability_prior,ground_truth_fail,failure_time
1,1,3,cloud,0,cloud,0.0,0.0000,0.0025,0,0.000,,0,1.0000,,0.990,0,
2,1,3,cloud,0,cloud,100.0,0.0000,0.0025,0,0.000,,0,0.9959,,0.990,0,
3,1,3,cloud,0,cloud,200.0,0.0000,0.0025,0,0.000,,0,0.9918,,0.990,0,
4,1,3,cloud,0,cloud,300.0,0.0000,0.0025,20,100.000,0.7304,0,0.9877,,0.990,0,
5,1,3,cloud,0,cloud,400.0,0.0000,0.0025,18,90.000,0.7633,0,0.9827,,0.990,0,
106,1,3,cloud,0,cloud,500.0,0.0000,0.0025,19,95.000,1.0000,0,0.9777,,0.990,0,
7,1,3,cloud,0,cloud,600.0,0.0000,0.0025,19,95.000,0.9249,0,0.9727,,0.990,0,
8,1,3,cloud,0,cloud,700.0,0.0000,0.0025,19,95.000,1.0000,0,0.9677,,0.990,0,
9,1,3,cloud,0,cloud,800.0,0.0000,0.0025,18,90.000,0.9863,0,0.9627,,0.990,0,
10,1,3,cloud,0,cloud,900.0,0.0000,0.0025,15,75.000,1.0000,0,0.9577,,0.990,0,
12,1,3,cloud,0,cloud,1000.0,0.0000,0.0025,20,100.000,0.9415,0,0.9527,,0.990,0,
12,1,3,cloud,0,cloud,1100.0,0.0000,0.0025,20,100.000,0.7151,0,0.9477,,0.990,0,
13,1,3,cloud,0,cloud,1200.0,0.0000,0.0025,18,90.000,0.9999,0,0.9427,,0.990,0,
14,1,3,cloud,0,cloud,1300.0,0.0000,0.0025,19,95.000,0.6488,0,0.9377,,0.990,0,
15,1,3,cloud,0,cloud,1400.0,0.0000,0.0025,20,100.000,0.5419,0,0.9327,,0.990,0,
16,1,3,cloud,0,cloud,1500.0,0.0000,0.0025,16,80.000,0.8547,0,0.9277,,0.990,0,
17,1,3,cloud,0,cloud,1600.0,0.0000,0.0025,19,95.000,0.8411,0,0.9227,,0.990,0,
18,1,3,cloud,0,cloud,1700.0,0.0000,0.0025,16,80.000,0.8245,0,0.9177,,0.990,0,
19,1,3,cloud,0,cloud,1800.0,0.0000,0.0025,18,90.000,1.0000,0,0.9127,,0.990,0,
20,1,3,cloud,0,cloud,1900.0,0.0000,0.0025,19,95.000,0.9177,0,0.9077,,0.990,0,
21,1,3,cloud,0,cloud,2000.0,0.0000,0.0025,18,90.000,0.8453,0,0.9027,,0.990,0,
22,1,3,cloud,0,cloud,2100.0,0.0000,0.0025,17,85.000,0.7485,0,0.8977,,0.990,0,
23,1,3,cloud,0,cloud,2200.0,0.0000,0.0025,18,90.000,0.7322,0,0.8927,,0.990,0,
24,1,3,cloud,0,cloud,2300.0,0.0000,0.0025,18,90.000,0.6404,0,0.8877,,0.990,0,
25,1,3,cloud,0,cloud,2400.0,0.0000,0.0025,16,80.000,0.6684,0,0.8827,,0.990,0,
26,1,3,cloud,0,cloud,2500.0,0.0000,0.0025,18,90.000,0.8830,0,0.8777,,0.990,0,
27,1,3,cloud,0,cloud,2600.0,0.0000,0.0025,17,85.000,0.8442,0,0.8727,,0.990,0,
28,1,3,cloud,0,cloud,2700.0,0.0000,0.0025,19,95.000,0.7803,0,0.8677,,0.990,0,
29,1,3,cloud,0,cloud,2800.0,0.0000,0.0025,20,100.000,0.6720,0,0.8627,,0.990,0,
30,1,3,cloud,0,cloud,2900.0,0.0000,0.0025,17,85.000,1.0000,0,0.8577,,0.990,0,
31,1,3,cloud,0,cloud,3000.0,0.0000,0.0025,16,80.000,0.9585,0,0.8527,,0.990,0,
