case_id,scenario_id,node_id,node_name,level,device_class,epoch,cpu_util,ram_util,queue_depth,uplink_latency,jitter_pktloss,handover_rate,residual_energy,temperature,reliability_prior,ground_truth_fail,failure_time
6403,5,214,edge-23,2,edge,3700.0,0.2000,0.0100,64,3.864,1.0000,2,0.2994,,0.700,1,3815.1
29,4,3,cloud,0,cloud,2800.0,0.9732,0.0225,1035947,3985.000,1.0000,0,0.8615,,0.990,0,
3801,4,80,fog-89,1,fog,1500.0,0.0000,0.0000,91,102.500,1.0000,0,0.9719,,0.850,0,
6954,3,212,edge-30,2,edge,4900.0,0.1000,0.0100,28,2.691,0.8318,1,0.8095,,0.700,0,
7091,6,236,edge-38,2,edge,3900.0,0.2000,0.0133,34,2.711,1.0000,0,0.6514,,0.700,1,3985.5
6697,5,242,edge-30,2,edge,2900.0,0.2010,0.0100,107,4.692,1.0000,1,0.4518,,0.700,1,3044.5
5849,3,143,edge-7,2,edge,3700.0,0.1004,0.0100,38,3.021,0.8248,4,0.8557,,0.700,0,
33,11,3,cloud,0,cloud,3200.0,0.0000,0.0025,185,925.000,1.0000,0,0.8427,,0.990,0,
5308,2,119,fog-128,1,fog,900.0,0.0000,0.0000,0,100.000,,0,0.9650,,0.850,0,
4156,11,88,fog-97,1,fog,2600.0,0.0000,0.0000,0,150.000,,0,0.9513,,0.850,0,
301,0,9,fog-18,1,fog,1600.0,0.0000,0.3000,0,100.000,,0,0.9200,,0.850,1,1703.1
3296,4,69,fog-78,1,fog,4100.0,0.0000,0.0000,16,100.800,0.0000,0,0.9231,,0.850,0,
6047,11,140,edge-6,2,edge,1800.0,0.0714,0.0188,11,2.319,0.9403,2,0.9103,,0.700,0,
1159,5,29,fog-38,1,fog,300.0,1.0000,0.3000,117,102.950,1.0000,0,0.9850,,0.850,0,839.2
6678,0,191,edge-23,2,edge,1300.0,0.1008,0.0100,47,3.519,1.0000,2,0.9456,,0.700,0,
2453,6,56,fog-65,1,fog,1600.0,0.0000,0.0000,0,100.000,,0,0.9378,,0.850,1,1711.4
6879,11,188,edge-22,2,edge,3800.0,0.0714,0.0188,11,2.068,0.9403,0,0.8152,,0.700,0,
6533,6,191,edge-23,2,edge,3800.0,0.2000,0.0133,29,2.914,0.5913,2,0.7943,,0.700,0,
40,11,3,cloud,0,cloud,3900.0,0.0000,0.0025,181,905.000,1.0000,0,0.8077,,0.990,0,
7405,4,230,edge-36,2,edge,4600.0,0.1001,0.0100,38,3.670,0.8503,1,0.2456,,0.700,1,4657.5
5922,5,162,edge-10,2,edge,2300.0,0.2000,0.0100,68,3.641,1.0000,1,0.5661,,0.700,1,2392.5
1586,2,41,fog-50,1,fog,500.0,0.0000,0.3000,0,100.000,,0,0.9750,,0.850,0,
6985,6,224,edge-34,2,edge,2800.0,0.2011,0.0133,57,3.161,1.0000,2,0.5102,,0.700,1,2888.7
5005,0,109,fog-118,1,fog,4900.0,0.0000,0.0000,0,100.000,,0,0.8096,,0.850,0,
1226,2,32,fog-41,1,fog,2600.0,1.0000,0.3000,1106,103.150,1.0000,0,0.8700,,0.850,1,2604.0
975,3,26,fog-35,1,fog,4700.0,1.0000,0.5000,74,101.750,1.0000,0,0.7759,,0.850,1,4775.0
31,3,3,cloud,0,cloud,3000.0,0.0286,0.0025,338,2330.000,1.0000,0,0.8753,,0.990,0,
49,2,3,cloud,0,cloud,4800.0,0.0460,0.0025,860,4245.000,1.0000,0,0.7999,,0.990,0,
6510,2,234,edge-28,2,edge,3000.0,0.2000,0.0100,63,3.555,1.0000,3,0.4328,,0.700,0,
6016,3,155,edge-11,2,edge,400.0,0.1000,0.0100,28,2.680,0.8318,4,0.9798,,0.700,0,
4443,0,98,fog-107,1,fog,700.0,0.0000,0.0000,0,100.000,,0,0.9728,,0.850,0,
6468,2,230,edge-27,2,edge,3500.0,0.2000,0.0100,63,3.476,1.0000,1,0.3375,,0.700,0,4657.5
37,6,3,cloud,0,cloud,3600.0,0.0344,0.0025,377,2655.000,1.0000,0,0.8502,,0.990,0,
21,4,3,cloud,0,cloud,2000.0,0.9786,0.0225,717967,3995.000,1.0000,0,0.9015,,0.990,0,
2090,5,50,fog-59,1,fog,100.0,0.0000,0.0000,0,100.000,,0,0.9981,,0.850,0,
3596,5,80,fog-89,1,fog,4500.0,0.0000,0.0000,44,101.800,1.0000,0,0.9156,,0.850,0,
324,11,9,fog-18,1,fog,1700.0,0.0000,0.0000,0,150.000,,0,0.9681,,0.850,1,1703.1
5604,2,138,edge-4,2,edge,2600.0,0.2000,0.0100,58,3.752,1.0000,0,0.5089,,0.700,0,
5903,2,170,edge-12,2,edge,3700.0,0.2014,0.0100,92,4.116,1.0000,4,0.2994,,0.700,0,
47,4,3,cloud,0,cloud,4600.0,0.9679,0.0225,1753479,3975.000,1.0000,0,0.7715,,0.990,0,
1486,3,38,fog-47,1,fog,2400.0,0.0000,0.5000,0,100.000,,0,0.8800,,0.850,0,
