case_id,scenario_id,node_id,node_name,level,device_class,epoch,cpu_util,ram_util,queue_depth,uplink_latency,jitter_pktloss,handover_rate,residual_energy,temperature,reliability_prior,ground_truth_fail,failure_time
1,0,3,cloud,0,cloud,0.0,0.0000,0.0025,0,0.000,,0,1.0000,,0.990,0,
2,0,3,cloud,0,cloud,100.0,0.0000,0.0025,0,0.000,,0,0.9959,,0.990,0,
3,0,3,cloud,0,cloud,200.0,0.0000,0.0025,96,480.000,1.0000,0,0.9918,,0.990,0,
4,0,3,cloud,0,cloud,300.0,0.0031,0.0025,255,1345.000,1.0000,0,0.9877,,0.990,0,
5,0,3,cloud,0,cloud,400.0,0.0042,0.0025,238,1285.000,1.0000,0,0.9835,,0.990,0,
6,0,3,cloud,0,cloud,500.0,0.0051,0.0025,255,1390.000,1.0000,0,0.9794,,0.990,0,
7,0,3,cloud,0,cloud,600.0,0.0063,0.0025,276,1520.000,1.0000,0,0.9753,,0.990,0,
8,0,3,cloud,0,cloud,700.0,0.0074,0.0025,249,1410.000,1.0000,0,0.9711,,0.990,0,
9,0,3,cloud,0,cloud,800.0,0.0089,0.0025,307,1735.000,1.0000,0,0.9669,,0.990,0,
10,0,3,cloud,0,cloud,900.0,0.0096,0.0025,318,1805.000,1.0000,0,0.9628,,0.990,0,
11,0,3,cloud,0,cloud,1000.0,0.0103,0.0025,306,1760.000,1.0000,0,0.9586,,0.990,0,
12,0,3,cloud,0,cloud,1100.0,0.0109,0.0025,291,1700.000,1.0000,0,0.9545,,0.990,0,
13,0,3,cloud,0,cloud,1200.0,0.0121,0.0025,307,1805.000,1.0000,0,0.9503,,0.990,0,
14,0,3,cloud,0,cloud,1300.0,0.0127,0.0025,330,1935.000,1.0000,0,0.9462,,0.990,0,
15,0,3,cloud,0,cloud,1400.0,0.0136,0.0025,283,1720.000,1.0000,0,0.9420,,0.990,0,
16,0,3,cloud,0,cloud,1500.0,0.0152,0.0025,294,1810.000,1.0000,0,0.9379,,0.990,0,
17,0,3,cloud,0,cloud,1600.0,0.0161,0.0025,283,1775.000,1.0000,0,0.9337,,0.990,0,
18,0,3,cloud,0,cloud,1700.0,0.0179,0.0025,360,2200.000,1.0000,0,0.9295,,0.990,0,
19,0,3,cloud,0,cloud,1800.0,0.0181,0.0025,305,1930.000,1.0000,0,0.9254,,0.990,0,
20,0,3,cloud,0,cloud,1900.0,0.0196,0.0025,340,2140.000,1.0000,0,0.9212,,0.990,0,
21,0,3,cloud,0,cloud,2000.0,0.0201,0.0025,354,2220.000,1.0000,0,0.9170,,0.990,0,
22,0,3,cloud,0,cloud,2100.0,0.0205,0.0025,356,2240.000,1.0000,0,0.9129,,0.990,0,
23,0,3,cloud,0,cloud,2200.0,0.0208,0.0025,365,2290.000,1.0000,0,0.9087,,0.990,0,
24,0,3,cloud,0,cloud,2300.0,0.0219,0.0025,375,2365.000,1.0000,0,0.9045,,0.990,0,
25,0,3,cloud,0,cloud,2400.0,0.0225,0.0025,359,2300.000,1.0000,0,0.9004,,0.990,0,
26,0,3,cloud,0,cloud,2500.0,0.0228,0.0025,369,2355.000,1.0000,0,0.8962,,0.990,0,
27,0,3,cloud,0,cloud,2600.0,0.0237,0.0025,345,2255.000,1.0000,0,0.8920,,0.990,0,
28,0,3,cloud,0,cloud,2700.0,0.0248,0.0025,330,2205.000,1.0000,0,0.8879,,0.990,0,
29,0,3,cloud,0,cloud,2800.0,0.0261,0.0025,314,2155.000,1.0000,0,0.8837,,0.990,0,
30,0,3,cloud,0,cloud,2900.0,0.0277,0.0025,363,2435.000,1.0000,0,0.8795,,0.990,0,
31,0,3,cloud,0,cloud,3000.0,0.0286,0.0025,337,2325.000,1.0000,0,0.8753,,0.990,0,
32,0,3,cloud,0,cloud,3100.0,0.0304,0.0025,372,2540.000,1.0000,0,0.8711,,0.990,0,
33,0,3,cloud,0,cloud,3200.0,0.0310,0.0025,361,2500.000,1.0000,0,0.8670,,0.990,0,
34,0,3,cloud,0,cloud,3300.0,0.0319,0.0025,414,2785.000,1.0000,0,0.8628,,0.990,0,
35,0,3,cloud,0,cloud,3400.0,0.0326,0.0025,368,2570.000,1.0000,0,0.8586,,0.990,0,
36,0,3,cloud,0,cloud,3500.0,0.0339,0.0025,395,2735.000,1.0000,0,0.8544,,0.990,0,
37,0,3,cloud,0,cloud,3600.0,0.0344,0.0025,371,2625.000,1.0000,0,0.8502,,0.990,0,
38,0,3,cloud,0,cloud,3700.0,0.0353,0.0025,423,2905.000,1.0000,0,0.8460,,0.990,0,
39,0,3,cloud,0,cloud,3800.0,0.0357,0.0025,388,2740.000,1.0000,0,0.8418,,0.990,0,
40,0,3,cloud,0,cloud,3900.0,0.0371,0.0025,425,2955.000,1.0000,0,0.8377,,0.990,0,
41,0,3,cloud,0,cloud,4000.0,0.0375,0.0025,406,2870.000,1.0000,0,0.8335,,0.990,0,
42,0,3,cloud,0,cloud,4100.0,0.0386,0.0025,434,3035.000,1.0000,0,0.8293,,0.990,0,
43,0,3,cloud,0,cloud,4200.0,0.0393,0.0025,409,2925.000,1.0000,0,0.8251,,0.990,0,
44,0,3,cloud,0,cloud,4300.0,0.0402,0.0025,380,2800.000,1.0000,0,0.8209,,0.990,0,
45,0,3,cloud,0,cloud,4400.0,0.0417,0.0025,382,2845.000,1.0000,0,0.8167,,0.990,0,
46,0,3,cloud,0,cloud,4500.0,0.0426,0.0025,404,2975.000,1.0000,0,0.8125,,0.990,0,
47,0,3,cloud,0,cloud,4600.0,0.0440,0.0025,363,2800.000,1.0000,0,0.8083,,0.990,0,
48,0,3,cloud,0,cloud,4700.0,0.0453,0.0025,391,2970.000,1.0000,0,0.8041,,0.990,0,
49,0,3,cloud,0,cloud,4800.0,0.0460,0.0025,422,3140.000,1.0000,0,0.7999,,0.990,0,
50,0,3,cloud,0,cloud,4900.0,0.0469,0.0025,438,3240.000,1.0000,0,0.7957,,0.990,0,
51,0,3,cloud,0,cloud,5000.0,0.0482,0.0025,459,3375.000,1.0000,0,0.7915,,0.990,0,
52,0,4,fog-13,1,fog,0.0,0.0000,0.3000,0,100.000,,0,1.0000,,0.850,0,
53,0,4,fog-13,1,fog,100.0,0.0000,0.3000,0,100.000,,0,0.9950,,0.850,0,
54,0,4,fog-13,1,fog,200.0,0.0000,0.3000,0,100.000,,0,0.9900,,0.850,0,
55,0,4,fog-13,1,fog,300.0,0.0000,0.3000,0,100.000,,0,0.9850,,0.850,0,
56,0,4,fog-13,1,fog,400.0,0.0000,0.3000,0,100.000,,0,0.9800,,0.850,0,
57,0,4,fog-13,1,fog,500.0,0.4821,0.3000,18,100.900,0.4070,0,0.9755,,0.850,0,
58,0,4,fog-13,1,fog,600.0,0.3750,0.3000,15,100.800,0.5627,0,0.9712,,0.850,0,
59,0,4,fog-13,1,fog,700.0,0.4821,0.3000,19,101.000,0.4119,0,0.9667,,0.850,0,
60,0,4,fog-13,1,fog,800.0,0.5357,0.3000,21,101.100,0.0950,0,0.9622,,0.850,0,
61,0,4,fog-13,1,fog,900.0,0.5357,0.3000,21,101.100,0.0950,0,0.9577,,0.850,0,
62,0,4,fog-13,1,fog,1000.0,0.4286,0.3000,17,100.900,0.5218,0,0.9533,,0.850,0,
63,0,4,fog-13,1,fog,1100.0,0.4286,0.3000,17,100.900,0.7739,0,0.9489,,0.850,0,
64,0,4,fog-13,1,fog,1200.0,0.5357,0.3000,21,101.100,0.0950,0,0.9443,,0.850,0,
65,0,4,fog-13,1,fog,1300.0,0.5357,0.3000,21,101.100,0.0950,0,0.9398,,0.850,0,
66,0,4,fog-13,1,fog,1400.0,0.4821,0.3000,19,101.000,0.4119,0,0.9354,,0.850,0,
67,0,4,fog-13,1,fog,1500.0,0.4821,0.3000,19,101.000,0.0971,0,0.9309,,0.850,0,
68,0,4,fog-13,1,fog,1600.0,0.4286,0.3000,17,100.900,0.5218,0,0.9265,,0.850,0,
69,0,4,fog-13,1,fog,1700.0,0.5357,0.3000,21,101.100,0.0950,0,0.9220,,0.850,0,
70,0,4,fog-13,1,fog,1800.0,0.4286,0.3000,17,100.900,0.4301,0,0.9176,,0.850,0,
